VALOR_FINAL,VALOR_PARCELA,QTD_PARCELA,CARENCIA,TAXA_CLIENTE,VALOR_TOTAL_PAGAR,SPREAD_EFETIVO,BANCO_VENCEDOR,TAXA_IMPLICITA
17027.37,489.24,60.0,120.0,1.44,29354.4,0.7239538460725292,BV,
16295.76,905.32,18.0,90.0,1.9,16295.76,0.0,Santander,
14490.0,699.58,36.0,150.0,1.9,25184.88,0.7380869565217392,Sol Agora,
43225.11,1530.62,60.0,150.0,2.2,91837.2,1.1246261721485498,Sol Agora,
17567.08,758.88,60.0,150.0,2.5,45532.8,1.5919390131996893,Sol Agora,
22187.31,739.58,30.0,90.0,1.9,22187.4,4.056372764349447e-06,Santander,
15546.24,863.68,18.0,90.0,1.9,15546.24,0.0,Santander,
9818.77,615.65,36.0,150.0,2.98,22163.399999999998,1.2572481074513404,Sol Agora,
24035.31,801.18,30.0,90.0,1.9,24035.399999999998,3.7444909175565755e-06,Santander,
9406.25,510.88,36.0,150.0,2.2,18391.68,0.9552616611295681,Sol Agora,
9100.0,577.56,36.0,150.0,2.98,20792.159999999996,1.2848527472527467,Sol Agora,
37064.74,1235.49,30.0,90.0,1.9,37064.7,-1.079192785358174e-06,Santander,
7070.0,235.67,30.0,90.0,1.9,7070.099999999999,1.4144271569982436e-05,Santander,
8147.99,427.21,36.0,150.0,1.9,15379.56,0.887528089749742,Sol Agora,
10811.25,541.59,36.0,150.0,1.9,19497.24,0.8034214360041625,Sol Agora,
10349.97,521.78,36.0,150.0,1.9,18784.079999999998,0.8148922170788899,Sol Agora,
9286.84,409.89,36.0,120.0,2.14,14756.039999999999,0.5889193740820342,Santander,
9755.69,506.53,36.0,90.0,2.59,18235.079999999998,0.8691737847348571,Omni,
9898.92,610.53,37.0,150.0,2.98,22589.61,1.282027736359118,Sol Agora,
16125.0,704.17,36.0,90.0,2.39,25350.12,0.5721004651162791,Omni,
46096.77,2112.99,36.0,90.0,2.99,76067.63999999998,0.6501728862998424,Omni,
22526.61,750.89,30.0,90.0,1.9,22526.7,3.9952749215643735e-06,Santander,
19747.37,658.25,30.0,90.0,1.9,19747.5,6.583155123918161e-06,Santander,
9407.0,473.11,36.0,90.0,2.39,17031.96,0.8105623471882639,Omni,
20905.47,975.12,36.0,150.0,1.9,35104.32,0.6791930533013608,Sol Agora,
9818.77,568.96,30.0,150.0,1.9,17068.800000000003,0.7383847467656337,Sol Agora,
12076.95,595.95,36.0,150.0,1.9,21454.2,0.776458460124452,Sol Agora,
20431.17,1039.78,36.0,90.0,2.79,37432.08,0.8321065313440201,Omni,
9829.0,327.63,30.0,90.0,1.9,9828.9,-1.0173974972049749e-05,Santander,
14040.0,468.0,30.0,90.0,1.9,14040.0,0.0,Santander,
14421.48,696.64,36.0,150.0,1.9,25079.04,0.7390059827424094,Sol Agora,
16383.0,607.64,36.0,90.0,2.79,21875.04,0.3352279802234024,Omni,
17567.08,605.34,60.0,150.0,1.9,36320.4,1.0675263048839079,Sol Agora,
12944.67,538.2,46.0,150.0,1.9,24757.2,0.9125400647525199,Sol Agora,
14025.12,1168.76,12.0,30.0,1.9,14025.119999999999,-1.1102230246251565e-16,Santander,
13548.03,683.5,36.0,90.0,2.59,24606.0,0.8162050128321239,Omni,
16029.27,558.32,30.0,90.0,1.9,16749.600000000002,0.0449384157856223,Santander,
6881.07,372.79,36.0,150.0,1.9,13420.44,0.9503420252954846,Sol Agora,
15506.97,590.72,48.0,90.0,2.07,28354.56,0.8285042145564223,Santander,
18115.47,563.21,60.0,90.0,1.99,33792.600000000006,0.8654001248656538,BV,
14795.31,493.18,30.0,90.0,1.9,14795.4,6.083008737167717e-06,Santander,
17600.0,606.37,60.0,150.0,1.9,36382.2,1.0671704545454546,Sol Agora,
17631.58,587.72,30.0,90.0,1.9,17631.600000000002,1.1343282904086038e-06,Santander,
24336.99,1279.96,30.0,150.0,1.9,38398.8,0.5777957750732527,Sol Agora,
10873.06,352.69,48.0,90.0,1.66,16929.12,0.5569784402918774,Santander,
29179.0,1266.67,30.0,90.0,1.9,38000.100000000006,0.30230988039343387,Santander,
19351.83,645.06,30.0,90.0,1.9,19351.8,-1.5502409851375631e-06,Santander,
20595.12,686.5,30.0,90.0,1.9,20595.0,-5.826623005744658e-06,Santander,
6095.0,352.38,36.0,150.0,1.9,12685.68,1.0813256767842496,Sol Agora,
36910.0,1230.33,30.0,90.0,1.9,36909.899999999994,-2.7092928747141087e-06,Santander,
16695.97,416.03,30.0,150.0,1.9,12480.9,-0.2524603242578899,Sol Agora,
